Item URL,Name,Price,Sizes Available,SKU,Categories,Description,All image URLs
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-boost-350-v2-salt/,Adidas Yeezy Boost 350 V2 “Salt”,"₹30,999.00","7,8.5,9",N/A,"Adidas | Yeezy,Sneakers | Yeezy,Yeezy",,https://www.copunderdog.com/wp-content/uploads/2022/10/Yeezy-Boost-350-V2-Jade-Ash.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-white-bordeaux/,Air Jordan 1 Low White Bordeaux,"₹16,999.00","6,7,9,10,11,12",N/A,"Jordans,SALE-2022,Sneakers","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/12/AJ1LowBordeaux_800x.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-se-craft-inside-out-obsidian/,Air Jordan 1 Low SE Craft ‘Inside Out – Obsidian’,"₹12,999.00","7,8,9,10,11,12",N/A,"Jordans,SALE-2022,Sneakers","BRAND NEW IN STORE,READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/12/Air-Jordan-1-Low-SE-Craft-DR8867-400-Release-Date-4.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-taxi-university-gold-white/,Air Jordan 1 Low Taxi ‘University Gold White’,"₹13,999.00","7,7.5,9",N/A,"Jordans,Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/09/Untitled_Artwork_800x.webp
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-bred-toew/,Air Jordan 1 Mid ‘Bred Toe'(W),"₹17,999.00",5,N/A,"Bae Section,Jordans,Jordans,Jordans | Sneakers,SALE-2022,Sneakers","BRAND NEW,IN-STORE READY TO STORE",https://www.copunderdog.com/wp-content/uploads/2022/12/lowbred2_800x.webp
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-se-craft-obsidian-french-blue-ashen-slate/,Air Jordan 1 Mid SE Craft Obsidian French Blue Ashen Slate,"₹19,999.00","8,9,10,11",N/A,"Jordans,Jordans,Sneakers","BRAND NEW,IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/12/download-5.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-retro-high-off-white-chicago/,Air Jordan 1 Retro High Off-White Chicago,"₹650,000.00",8,N/A,"Jordans,SALE-2022,Sneakers","BRAND NEW,IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/12/ff3d2f6029d4fde56fd49f8dd441780-1200x1200-1.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-retro-high-og-lost-and-found-pre-order/,Air Jordan 1 Retro High OG  Chicago ‘Lost and Found’,"₹34,999.00","5,5.5,6,7,9,10,12",N/A,"Jordans,Sneakers","BRAND NEW,
LIMITED PRE ORDERS ONLY,PLEASE NOTE THIS PRODUCT HAS AN ADDITIONAL DELIVERY PERIOD OF 3 WEEKS.",https://www.copunderdog.com/wp-content/uploads/2022/11/AJ1HighLost_Found_1400x.jpg
https://www.copunderdog.com/shop/sneakers/jordans/pre-order-jordan-1-retro-low-og-sp-travis-scott-black-phantom/,Air Jordan 1 Retro Low OG SP Travis Scott ‘Black Phantom’,"₹85,000.00","6,7,8,9,10,11",N/A,"Jordans,Jordans | Sneakers,Sneakers","BRAND NEW,Please note : This product has an additional period of 3 weeks",https://www.copunderdog.com/wp-content/uploads/2022/12/8346afec-0f1a-4110-ae87-e78a07041417.webp
https://www.copunderdog.com/shop/sneakers/yeezy/yeezy-boost-350-v2-onyx/,Yeezy Boost 350 v2 Onyx,"₹34,999.00","8,9,11.5",N/A,"Sneakers,Yeezy",,https://www.copunderdog.com/wp-content/uploads/2022/06/https___hypebeast.com_image_2022_06_adidas-yeezy-boost-350-v2-onyx-HQ4540-release-date-2.jpg
https://www.copunderdog.com/shop/sneakers/yeezy/yeezy-boost-350-v2-mono-mist/,Adidas Yeezy Boost 350 V2 Mono Mist,"₹23,500.00","8,11",N/A,"Sneakers,Yeezy","BRAND NEW,IN STORE READY TO SHIP, ",https://www.copunderdog.com/wp-content/uploads/2021/06/mono-mist1.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-craft-inside-out/,Air Jordan 1 Low Craft’ Inside Out ‘,"₹17,999.00",11,N/A,"Jordans,Sneakers","BRAND NEW,IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/12/937348_03.jpg.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-golf-court-purple/,Air Jordan 1 Low Golf “Court Purple”,"₹21,999.00","7,11.5",N/A,"Jordans,Jordans,Jordans | Sneakers,Sneakers","BRAND NEW,IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/12/https___hypebeast.com_image_2022_11_air-jordan-1-low-golf-court-purple-DD9315-105-1.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-flyease-bio-hack/,Air Jordan 1 Low FlyEase “Bio Hack”,"₹24,000.00",9,N/A,"Jordans,Sneakers","BRAND NEW,IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/11/AJ1LOWFLYEASEbiohack_800x.webp
https://www.copunderdog.com/shop/sneakers/yeezy/yeezy-380-mists/,Adidas Yeezy 380 Mist,"₹23,999.00",6,N/A,"Bae Section,Sneakers,Yeezy","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/01/Adobe_Post_20210108_2257430.4951210558864424.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-white-ice-blue/,Air Jordan 1 Low White Ice Blue,"₹18,999.00","5,6,7",N/A,"Bae Section,Jordans,SALE-2022,Sneakers","BRAND NEW,IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/11/1ab97f28b41b4cf3aa7ef6428f106b7a-scaled.webp
https://www.copunderdog.com/shop/sneakers/yeezy/yeezy-slide-bone/,Adidas Yeezy Slide Bone,"₹19,999.00","6,7,8",N/A,"Sneakers | Yeezy,Yeezy","IN STORE,READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/08/Bone2_800x.webp
https://www.copunderdog.com/shop/sneakers/nike-dunk-high-mastermind/,Nike Dunk High Mastermind,"₹39,999.00",9,N/A,Sneakers,In store ready to ship,https://www.copunderdog.com/wp-content/uploads/2021/03/Adobe_Post_20210316_1757440.829654982116957.png
https://www.copunderdog.com/shop/sneakers/nike/dunk-low-michigan/,Nike Dunk Low Michigan,"₹17,999.00",8,N/A,"Nike,SALE-2022,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/11/michigan.jpg
https://www.copunderdog.com/shop/sneakers/jordans/nike-air-jordan-1-retro-high-og-stealth/,Nike Air Jordan 1 Retro High OG Stealth,"₹18,999.00",11,N/A,"Jordans,Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/08/stealth.webp
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-siren-red/,Air Jordan 1 Mid ‘Siren Red’,"₹17,500.00",9.5,N/A,"Jordans,Jordans,Jordans | Sneakers,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/05/wmns-air-jordan-1-mid-siren-red-bq6472-004_1_zyxvnw_1800x1800.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-sesame/,Air Jordan 1 Low Sesame,"₹17,999.00","4.5,5.5",N/A,"Jordans,Sneakers",Brand new in store ready to ship,https://www.copunderdog.com/wp-content/uploads/2022/02/44.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-3-x-fragment/,Fragment x Air Jordan 3 Retro,"₹39,999.00",11.5,N/A,"Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2020/11/5-1.png
https://www.copunderdog.com/shop/sneakers/jordans/nike-air-jordan-1-retro-high-og-starfish/,Nike Air Jordan 1 Retro High OG Starfish,"₹21,999.00","6,7",N/A,"Bae Section,Jordans,Jordans,SALE-2022,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/09/ozSGGyvaaYrc1NDu1Kozqs3kL8GtCzByVy87vkkr.png
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-4-retro-midnight-navy/,Air Jordan 4 Retro ‘Midnight Navy’,"₹24,499.00","7,8,9,10,11",N/A,"Jordans,Jordans,SALE-2022,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/10/5c7f9789-60c1-4ba1-a484-cf024abb0a98.webp
https://www.copunderdog.com/shop/sneakers/nike/nike-air-force-1-triple-white/,Nike Air Force 1 ‘Triple White’,"₹11,000.00","6,8,9,10,11",N/A,"Bae Section,Nike,Nike,Nike | Sneakers,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/10/Nike_Air_Force_1_07_Triple_White_5.png
https://www.copunderdog.com/shop/sneakers/mystery-box-25000/,Mystery Box – 25000/-,"₹25,000.00",,,"SALE-2022,Sneakers","Mystery Box will contain items worth much more than what you pay for.,You will get an option to choose sizing once the order is placed , our team will reach out to you regarding the same.,No Refunds or Returns will be entertained for the same product., , ",https://www.copunderdog.com/wp-content/uploads/2022/12/WhatsApp-Image-2022-12-22-at-8.59.25-PM-2.jpeg
https://www.copunderdog.com/shop/sneakers/jordans/nike-air-jordan-1-low-golf-triple-white/,Nike Air Jordan 1 Low Golf Triple White,"₹15,999.00",10,N/A,"Jordans,Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/09/nike-air-jordan-1-golf-shoes-dior-2021-03m_1_1.webp
https://www.copunderdog.com/shop/sneakers/nike/nike-air-force-1-white-white-cobalt-tint/,Nike Air Force 1 White/White-Cobalt Tint,"₹17,999.00","7,10",N/A,"Nike,Nike,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/12/243826.webp
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-high-og-co-jp-tokyo/,Nike Air Jordan 1 HighCO.JP Tokyo,"₹27,000.00","5.5,6,9",N/A,"Bae Section,Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2020/10/air-jordan-1-retro-high-og-cojp-tokyo-release-date.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-aluminium-football-grey/,Air Jordan 1 Low Aluminium Football Grey,"₹19,999.00",6,N/A,"Jordans,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2022/08/Artboard1copy3_3_af48b29a-b352-4fa2-b4d1-7a863d78dfd9_800x.webp
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-slide-flax/,Adidas Yeezy Slide ‘Flax’,"₹19,999.00",7,N/A,"Adidas,Sneakers,Yeezy","IN STORE,READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/08/slideflax2_1024x-1.webp
https://www.copunderdog.com/shop/sneakers/nike/nike-adapt-bb-2-0/,Nike Adapt BB 2.0 – Astronomy Blue,"₹39,999.00",10,N/A,"Nike,SALE-2022,Sneakers","BRAND NEW,IN-STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2022/12/3a17cab8-f220-4247-b522-b8464bab472c.webp
https://www.copunderdog.com/shop/sneakers/adidas/adidas-pharrell-williams-solar-hu-glide/,Adidas Pharrell Williams Solar Hu Glide,"₹9,999.00","6,7",N/A,"Adidas,Sneakers",,https://www.copunderdog.com/wp-content/uploads/2021/03/Adobe_Post_20210319_1658310.15232448566452184.png
https://www.copunderdog.com/shop/sneakers/yeezy/yeezy-boost-350-v2-slate-core-black-slate/,YEEZY BOOST 350 V2 SLATE / CORE BLACK / SLATE,"₹30,999.00","6,6.5,7.5,9,11",N/A,"Adidas,Adidas | Yeezy,Sneakers,Sneakers | Yeezy,Yeezy",,https://www.copunderdog.com/wp-content/uploads/2022/09/HP7870_01_standard1_hover.jpeg
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-slide-resin/,Adidas Yeezy Slide Resin,"₹17,999.00","4,5,7,10",N/A,"Sneakers,Yeezy","BRAND NEW,IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/04/14.jpg
